run_key,campaign,method,family,scenario,ratio,variant,execution_profile,status,destination,copy_source,provenance
final_full/baselines|ctgan|error|D|R200|BASE,final_full/baselines,ctgan,error,D,200,BASE,full,completed,final_full/baselines/ctgan/error/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\error\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/ctgan/error/D/R200
final_full/baselines|ctgan|error|D|R500|BASE,final_full/baselines,ctgan,error,D,500,BASE,full,completed,final_full/baselines/ctgan/error/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\error\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/ctgan/error/D/R500
final_full/baselines|ctgan|time|A|R100|BASE,final_full/baselines,ctgan,time,A,100,BASE,full,completed,final_full/baselines/ctgan/time/A/R100/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\time\A\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/ctgan/time/A/R100
final_full/baselines|ctgan|time|A|R200|BASE,final_full/baselines,ctgan,time,A,200,BASE,full,completed,final_full/baselines/ctgan/time/A/R200/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\time\A\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/ctgan/time/A/R200
final_full/baselines|ctgan|time|A|R500|BASE,final_full/baselines,ctgan,time,A,500,BASE,full,completed,final_full/baselines/ctgan/time/A/R500/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\time\A\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/ctgan/time/A/R500
final_full/baselines|ctgan|time|D|R100|BASE,final_full/baselines,ctgan,time,D,100,BASE,full,completed,final_full/baselines/ctgan/time/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\time\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/ctgan/time/D/R100
final_full/baselines|ctgan|time|D|R200|BASE,final_full/baselines,ctgan,time,D,200,BASE,full,completed,final_full/baselines/ctgan/time/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\time\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/ctgan/time/D/R200
final_full/baselines|ctgan|time|D|R500|BASE,final_full/baselines,ctgan,time,D,500,BASE,full,completed,final_full/baselines/ctgan/time/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\time\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/ctgan/time/D/R500
final_full/baselines|ctgan|union|D|R100|BASE,final_full/baselines,ctgan,union,D,100,BASE,full,completed,final_full/baselines/ctgan/union/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\union\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/ctgan/union/D/R100
final_full/baselines|ctgan|union|D|R200|BASE,final_full/baselines,ctgan,union,D,200,BASE,full,completed,final_full/baselines/ctgan/union/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\union\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/ctgan/union/D/R200
final_full/baselines|ctgan|union|D|R500|BASE,final_full/baselines,ctgan,union,D,500,BASE,full,completed,final_full/baselines/ctgan/union/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\union\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/ctgan/union/D/R500
final_full/baselines|ctgan|union|F|R100|BASE,final_full/baselines,ctgan,union,F,100,BASE,full,completed,final_full/baselines/ctgan/union/F/R100/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\union\F\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/ctgan/union/F/R100
final_full/baselines|ctgan|union|F|R200|BASE,final_full/baselines,ctgan,union,F,200,BASE,full,completed,final_full/baselines/ctgan/union/F/R200/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\union\F\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/ctgan/union/F/R200
final_full/baselines|ctgan|union|F|R500|BASE,final_full/baselines,ctgan,union,F,500,BASE,full,completed,final_full/baselines/ctgan/union/F/R500/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\union\F\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/ctgan/union/F/R500
final_full/baselines|gan|boolean|D|R100|BASE,final_full/baselines,gan,boolean,D,100,BASE,full,completed,final_full/baselines/gan/boolean/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\gan\boolean\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/gan/boolean/D/R100
final_full/baselines|gan|boolean|D|R200|BASE,final_full/baselines,gan,boolean,D,200,BASE,full,completed,final_full/baselines/gan/boolean/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\gan\boolean\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/gan/boolean/D/R200
final_full/baselines|gan|boolean|D|R500|BASE,final_full/baselines,gan,boolean,D,500,BASE,full,completed,final_full/baselines/gan/boolean/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\gan\boolean\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/gan/boolean/D/R500
final_full/baselines|gan|boolean|E|R100|BASE,final_full/baselines,gan,boolean,E,100,BASE,full,completed,final_full/baselines/gan/boolean/E/R100/BASE,H:\My Drive\GAN\final_results_complete\final\gan\boolean\E\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/gan/boolean/E/R100
final_full/baselines|gan|boolean|E|R200|BASE,final_full/baselines,gan,boolean,E,200,BASE,full,completed,final_full/baselines/gan/boolean/E/R200/BASE,H:\My Drive\GAN\final_results_complete\final\gan\boolean\E\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/gan/boolean/E/R200
final_full/baselines|gan|boolean|E|R500|BASE,final_full/baselines,gan,boolean,E,500,BASE,full,completed,final_full/baselines/gan/boolean/E/R500/BASE,H:\My Drive\GAN\final_results_complete\final\gan\boolean\E\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/gan/boolean/E/R500
final_full/baselines|gan|error|B|R100|BASE,final_full/baselines,gan,error,B,100,BASE,full,completed,final_full/baselines/gan/error/B/R100/BASE,H:\My Drive\GAN\final_results_complete\final\gan\error\B\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/gan/error/B/R100
final_full/baselines|gan|error|B|R200|BASE,final_full/baselines,gan,error,B,200,BASE,full,completed,final_full/baselines/gan/error/B/R200/BASE,H:\My Drive\GAN\final_results_complete\final\gan\error\B\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/gan/error/B/R200
final_full/baselines|gan|error|B|R500|BASE,final_full/baselines,gan,error,B,500,BASE,full,completed,final_full/baselines/gan/error/B/R500/BASE,H:\My Drive\GAN\final_results_complete\final\gan\error\B\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/gan/error/B/R500
final_full/baselines|gan|error|D|R100|BASE,final_full/baselines,gan,error,D,100,BASE,full,completed,final_full/baselines/gan/error/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\gan\error\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/gan/error/D/R100
final_full/baselines|gan|error|D|R200|BASE,final_full/baselines,gan,error,D,200,BASE,full,completed,final_full/baselines/gan/error/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\gan\error\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/gan/error/D/R200
final_full/baselines|gan|error|D|R500|BASE,final_full/baselines,gan,error,D,500,BASE,full,completed,final_full/baselines/gan/error/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\gan\error\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/gan/error/D/R500
final_full/baselines|gan|time|A|R100|BASE,final_full/baselines,gan,time,A,100,BASE,full,completed,final_full/baselines/gan/time/A/R100/BASE,H:\My Drive\GAN\final_results_complete\final\gan\time\A\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/gan/time/A/R100
final_full/baselines|gan|time|A|R200|BASE,final_full/baselines,gan,time,A,200,BASE,full,completed,final_full/baselines/gan/time/A/R200/BASE,H:\My Drive\GAN\final_results_complete\final\gan\time\A\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/gan/time/A/R200
final_full/baselines|gan|time|A|R500|BASE,final_full/baselines,gan,time,A,500,BASE,full,completed,final_full/baselines/gan/time/A/R500/BASE,H:\My Drive\GAN\final_results_complete\final\gan\time\A\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/gan/time/A/R500
final_full/baselines|gan|time|D|R100|BASE,final_full/baselines,gan,time,D,100,BASE,full,completed,final_full/baselines/gan/time/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\gan\time\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/gan/time/D/R100
final_full/baselines|gan|time|D|R200|BASE,final_full/baselines,gan,time,D,200,BASE,full,completed,final_full/baselines/gan/time/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\gan\time\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/gan/time/D/R200
final_full/baselines|gan|time|D|R500|BASE,final_full/baselines,gan,time,D,500,BASE,full,completed,final_full/baselines/gan/time/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\gan\time\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/gan/time/D/R500
final_full/baselines|gan|union|D|R100|BASE,final_full/baselines,gan,union,D,100,BASE,full,completed,final_full/baselines/gan/union/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\gan\union\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/gan/union/D/R100
final_full/baselines|gan|union|D|R200|BASE,final_full/baselines,gan,union,D,200,BASE,full,completed,final_full/baselines/gan/union/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\gan\union\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/gan/union/D/R200
final_full/baselines|gan|union|D|R500|BASE,final_full/baselines,gan,union,D,500,BASE,full,completed,final_full/baselines/gan/union/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\gan\union\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/gan/union/D/R500
final_full/baselines|gan|union|F|R100|BASE,final_full/baselines,gan,union,F,100,BASE,full,completed,final_full/baselines/gan/union/F/R100/BASE,H:\My Drive\GAN\final_results_complete\final\gan\union\F\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/gan/union/F/R100
final_full/baselines|gan|union|F|R200|BASE,final_full/baselines,gan,union,F,200,BASE,full,completed,final_full/baselines/gan/union/F/R200/BASE,H:\My Drive\GAN\final_results_complete\final\gan\union\F\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/gan/union/F/R200
final_full/baselines|gan|union|F|R500|BASE,final_full/baselines,gan,union,F,500,BASE,full,completed,final_full/baselines/gan/union/F/R500/BASE,H:\My Drive\GAN\final_results_complete\final\gan\union\F\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/gan/union/F/R500
final_full/baselines|seqgan_master|boolean|D|R100|BASE,final_full/baselines,seqgan_master,boolean,D,100,BASE,full,completed,final_full/baselines/seqgan_master/boolean/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\boolean\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102326Z-1-001/result/final/seqgan_master/boolean/D/R100
final_full/baselines|seqgan_master|boolean|D|R200|BASE,final_full/baselines,seqgan_master,boolean,D,200,BASE,full,completed,final_full/baselines/seqgan_master/boolean/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\boolean\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102410Z-1-001/result/final/seqgan_master/boolean/D/R200
final_full/baselines|seqgan_master|boolean|D|R500|BASE,final_full/baselines,seqgan_master,boolean,D,500,BASE,full,completed,final_full/baselines/seqgan_master/boolean/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\boolean\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102425Z-1-001/result/final/seqgan_master/boolean/D/R500
final_full/baselines|seqgan_master|boolean|E|R100|BASE,final_full/baselines,seqgan_master,boolean,E,100,BASE,full,completed,final_full/baselines/seqgan_master/boolean/E/R100/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\boolean\E\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102326Z-1-001/result/final/seqgan_master/boolean/E/R100
final_full/baselines|seqgan_master|boolean|E|R200|BASE,final_full/baselines,seqgan_master,boolean,E,200,BASE,full,completed,final_full/baselines/seqgan_master/boolean/E/R200/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\boolean\E\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102410Z-1-001/result/final/seqgan_master/boolean/E/R200
final_full/baselines|seqgan_master|boolean|E|R500|BASE,final_full/baselines,seqgan_master,boolean,E,500,BASE,full,completed,final_full/baselines/seqgan_master/boolean/E/R500/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\boolean\E\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102425Z-1-001/result/final/seqgan_master/boolean/E/R500
final_full/baselines|seqgan_master|error|B|R100|BASE,final_full/baselines,seqgan_master,error,B,100,BASE,full,completed,final_full/baselines/seqgan_master/error/B/R100/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\error\B\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102326Z-1-001/result/final/seqgan_master/error/B/R100
final_full/baselines|seqgan_master|error|B|R200|BASE,final_full/baselines,seqgan_master,error,B,200,BASE,full,completed,final_full/baselines/seqgan_master/error/B/R200/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\error\B\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102410Z-1-001/result/final/seqgan_master/error/B/R200
final_full/baselines|seqgan_master|error|B|R500|BASE,final_full/baselines,seqgan_master,error,B,500,BASE,full,completed,final_full/baselines/seqgan_master/error/B/R500/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\error\B\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102425Z-1-001/result/final/seqgan_master/error/B/R500
final_full/baselines|seqgan_master|error|D|R100|BASE,final_full/baselines,seqgan_master,error,D,100,BASE,full,completed,final_full/baselines/seqgan_master/error/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\error\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102326Z-1-001/result/final/seqgan_master/error/D/R100
final_full/baselines|seqgan_master|error|D|R200|BASE,final_full/baselines,seqgan_master,error,D,200,BASE,full,completed,final_full/baselines/seqgan_master/error/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\error\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102410Z-1-001/result/final/seqgan_master/error/D/R200
final_full/baselines|seqgan_master|error|D|R500|BASE,final_full/baselines,seqgan_master,error,D,500,BASE,full,completed,final_full/baselines/seqgan_master/error/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\error\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102425Z-1-001/result/final/seqgan_master/error/D/R500
final_full/baselines|seqgan_master|time|A|R100|BASE,final_full/baselines,seqgan_master,time,A,100,BASE,full,completed,final_full/baselines/seqgan_master/time/A/R100/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\time\A\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102326Z-1-001/result/final/seqgan_master/time/A/R100
final_full/baselines|seqgan_master|time|A|R200|BASE,final_full/baselines,seqgan_master,time,A,200,BASE,full,completed,final_full/baselines/seqgan_master/time/A/R200/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\time\A\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102410Z-1-001/result/final/seqgan_master/time/A/R200
final_full/baselines|seqgan_master|time|A|R500|BASE,final_full/baselines,seqgan_master,time,A,500,BASE,full,completed,final_full/baselines/seqgan_master/time/A/R500/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\time\A\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102425Z-1-001/result/final/seqgan_master/time/A/R500
final_full/baselines|seqgan_master|time|D|R100|BASE,final_full/baselines,seqgan_master,time,D,100,BASE,full,completed,final_full/baselines/seqgan_master/time/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\time\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102326Z-1-001/result/final/seqgan_master/time/D/R100
final_full/baselines|seqgan_master|time|D|R200|BASE,final_full/baselines,seqgan_master,time,D,200,BASE,full,completed,final_full/baselines/seqgan_master/time/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\time\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102410Z-1-001/result/final/seqgan_master/time/D/R200
final_full/baselines|seqgan_master|time|D|R500|BASE,final_full/baselines,seqgan_master,time,D,500,BASE,full,completed,final_full/baselines/seqgan_master/time/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\time\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102425Z-1-001/result/final/seqgan_master/time/D/R500
final_full/baselines|seqgan_master|union|D|R100|BASE,final_full/baselines,seqgan_master,union,D,100,BASE,full,completed,final_full/baselines/seqgan_master/union/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\union\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102326Z-1-001/result/final/seqgan_master/union/D/R100
final_full/baselines|seqgan_master|union|D|R200|BASE,final_full/baselines,seqgan_master,union,D,200,BASE,full,completed,final_full/baselines/seqgan_master/union/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\union\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102410Z-1-001/result/final/seqgan_master/union/D/R200
final_full/baselines|seqgan_master|union|D|R500|BASE,final_full/baselines,seqgan_master,union,D,500,BASE,full,completed,final_full/baselines/seqgan_master/union/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\union\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102425Z-1-001/result/final/seqgan_master/union/D/R500
final_full/baselines|seqgan_master|union|F|R100|BASE,final_full/baselines,seqgan_master,union,F,100,BASE,full,completed,final_full/baselines/seqgan_master/union/F/R100/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\union\F\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102326Z-1-001/result/final/seqgan_master/union/F/R100
final_full/baselines|seqgan_master|union|F|R200|BASE,final_full/baselines,seqgan_master,union,F,200,BASE,full,completed,final_full/baselines/seqgan_master/union/F/R200/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\union\F\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102410Z-1-001/result/final/seqgan_master/union/F/R200
final_full/baselines|seqgan_master|union|F|R500|BASE,final_full/baselines,seqgan_master,union,F,500,BASE,full,completed,final_full/baselines/seqgan_master/union/F/R500/BASE,H:\My Drive\GAN\final_results_complete\final\seqgan_master\union\F\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102425Z-1-001/result/final/seqgan_master/union/F/R500
final_full/baselines|smote|boolean|D|R100|BASE,final_full/baselines,smote,boolean,D,100,BASE,full,completed,final_full/baselines/smote/boolean/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\smote\boolean\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/smote/boolean/D/R100
final_full/baselines|smote|boolean|D|R200|BASE,final_full/baselines,smote,boolean,D,200,BASE,full,completed,final_full/baselines/smote/boolean/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\smote\boolean\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/smote/boolean/D/R200
final_full/baselines|smote|boolean|D|R500|BASE,final_full/baselines,smote,boolean,D,500,BASE,full,completed,final_full/baselines/smote/boolean/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\smote\boolean\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/smote/boolean/D/R500
final_full/baselines|smote|boolean|E|R100|BASE,final_full/baselines,smote,boolean,E,100,BASE,full,completed,final_full/baselines/smote/boolean/E/R100/BASE,H:\My Drive\GAN\final_results_complete\final\smote\boolean\E\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/smote/boolean/E/R100
final_full/baselines|smote|boolean|E|R200|BASE,final_full/baselines,smote,boolean,E,200,BASE,full,completed,final_full/baselines/smote/boolean/E/R200/BASE,H:\My Drive\GAN\final_results_complete\final\smote\boolean\E\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/smote/boolean/E/R200
final_full/baselines|smote|boolean|E|R500|BASE,final_full/baselines,smote,boolean,E,500,BASE,full,completed,final_full/baselines/smote/boolean/E/R500/BASE,H:\My Drive\GAN\final_results_complete\final\smote\boolean\E\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/smote/boolean/E/R500
final_full/baselines|smote|error|B|R100|BASE,final_full/baselines,smote,error,B,100,BASE,full,completed,final_full/baselines/smote/error/B/R100/BASE,H:\My Drive\GAN\final_results_complete\final\smote\error\B\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/smote/error/B/R100
final_full/baselines|smote|error|B|R200|BASE,final_full/baselines,smote,error,B,200,BASE,full,completed,final_full/baselines/smote/error/B/R200/BASE,H:\My Drive\GAN\final_results_complete\final\smote\error\B\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/smote/error/B/R200
final_full/baselines|smote|error|B|R500|BASE,final_full/baselines,smote,error,B,500,BASE,full,completed,final_full/baselines/smote/error/B/R500/BASE,H:\My Drive\GAN\final_results_complete\final\smote\error\B\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/smote/error/B/R500
final_full/baselines|smote|error|D|R100|BASE,final_full/baselines,smote,error,D,100,BASE,full,completed,final_full/baselines/smote/error/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\smote\error\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/smote/error/D/R100
final_full/baselines|smote|error|D|R200|BASE,final_full/baselines,smote,error,D,200,BASE,full,completed,final_full/baselines/smote/error/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\smote\error\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/smote/error/D/R200
final_full/baselines|smote|error|D|R500|BASE,final_full/baselines,smote,error,D,500,BASE,full,completed,final_full/baselines/smote/error/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\smote\error\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/smote/error/D/R500
final_full/baselines|smote|time|A|R100|BASE,final_full/baselines,smote,time,A,100,BASE,full,completed,final_full/baselines/smote/time/A/R100/BASE,H:\My Drive\GAN\final_results_complete\final\smote\time\A\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/smote/time/A/R100
